rank,person_id,name,name_ja,name_en,authority,trust,skill,composite
1,anilist:p101458,馬越嘉彦,馬越嘉彦,Yoshihiko Umakoshi,94.44,90.62,50.0,81.99
2,anilist:p101185,平松禎史,平松禎史,Tadashi Hiramatsu,50.22,100.0,50.0,67.59
3,anilist:p113599,浅野恭司,浅野恭司,Kyouji Asano,72.65,67.85,50.0,65.31
4,anilist:p135988,橋本賢,橋本賢,Satoshi Hashimoto,100.0,52.86,0.0,58.5
5,anilist:p119808,松島晃,松島晃,Akira Matsushima,41.73,76.15,50.0,55.84
6,anilist:p140950,山田和弘,山田和弘,Kazuhiro Yamada ,92.3,54.03,0.0,55.83
7,anilist:p121205,三輪和宏,三輪和宏,Kazuhiro Miwa,61.07,43.25,50.0,52.07
8,anilist:p110647,池田繁美,池田繁美,Shigemi Ikeda,68.91,64.47,0.0,50.13
9,anilist:p120001,丸山由紀子,丸山由紀子,Yukiko Maruyama,68.91,64.47,0.0,50.13
10,anilist:p124083,北尾勝,北尾勝,Masaru Kitao,66.79,17.65,50.0,45.4
11,anilist:p100653,木下ゆうき,木下ゆうき,Yuuki Kinoshita,64.78,18.93,50.0,45.03
12,anilist:p100088,荒木哲郎,荒木哲郎,Tetsurou Araki,99.52,14.16,0.0,44.76
13,anilist:p105913,久保田誓,久保田誓,Chikashi Kubota,48.68,34.28,50.0,43.97
14,anilist:p102679,小泉昇,小泉昇,Noboru Koizumi,69.23,9.31,50.0,43.45
15,anilist:p131507,三木達也,三木達也,Tatsuya Miki,58.61,45.35,0.0,39.32
16,anilist:p133309,星野玲香,星野玲香,Reika Hoshino,58.87,44.95,0.0,39.28
17,anilist:p103979,田中宏紀,田中宏紀,Hironori Tanaka,58.84,44.11,0.0,38.97
18,anilist:p104171,川村敦子,川村敦子,Atsuko Kawamura,56.64,6.13,50.0,37.3
19,anilist:p111683,真庭秀明,真庭秀明,Hideaki Maniwa,56.64,6.13,50.0,37.3
20,anilist:p107357,佐藤利幸,佐藤利幸,Toshiyuki Satou,57.76,39.73,0.0,37.01
21,anilist:p134260,小坂倫洋,小坂倫洋,Tomohiro Kosaka,46.47,48.0,0.0,35.39
22,anilist:p100316,福永元,福永元,Gen Fukunaga,57.8,34.53,0.0,35.21
23,anilist:p95203,Justin Cook,,Justin Cook,57.8,34.53,0.0,35.21
24,anilist:p142338,丸山博雄,丸山博雄,Hiroo Maruyama,45.45,48.0,0.0,34.98
25,anilist:p133446,長谷川早紀,長谷川早紀,Saki Hasegawa,46.02,44.46,0.0,33.97
26,anilist:p187695,伊藤哲平,伊藤哲平,Teppei Itou,33.08,58.15,0.0,33.58
27,anilist:p133303,森佳祐,森佳祐,Keisuke Mori,47.37,41.3,0.0,33.4
28,anilist:p134309,一色美緒,一色美緒,Mio Isshiki,68.46,14.24,0.0,32.37
29,anilist:p101727,加々美高浩,加々美高浩,Takahiro Kagami,41.61,8.89,50.0,32.26
30,anilist:p173676,鎌田千賀子,鎌田千賀子,Chikako Kamata,29.53,58.15,0.0,32.16
31,anilist:p103468,新垣重文,新垣重文,Shigefumi Shingaki,44.05,4.77,50.0,31.79
32,anilist:p103804,島貫正弘,島貫正弘,Masahiro Shimanuki,44.05,4.77,50.0,31.79
33,anilist:p140203,高橋賢,高橋賢,Ken Takahashi,36.08,49.57,0.0,31.78
34,anilist:p133152,前田義宏,前田義宏,Yoshihiro Maeda,46.01,34.88,0.0,30.61
35,anilist:p130063,寺尾優一,寺尾優一,Yuuichi Terao,35.41,46.15,0.0,30.32
36,anilist:p150595,Michael Harcourt,,Michael Harcourt,45.22,33.63,0.0,29.86
37,anilist:p115623,原田大基,原田大基,Hiroki Harada,36.52,7.83,50.0,29.85
38,anilist:p151813,石田慶一,石田慶一,Keiichi Ishida,23.63,58.15,0.0,29.8
39,anilist:p132898,土上いつき,土上いつき,Itsuki Tsuchigami,46.34,31.72,0.0,29.64
40,anilist:p148066,青木真理子,青木真理子,Mariko Aoki,44.59,33.51,0.0,29.57
